reference,summary
"we herein report an unusual case of an infected descending aortic pseudoaneurysm with luminal pathognomonic oscillating vegetation with serological findings and clinical features mimicking anti - proteinase 3-antineutrophil cytoplasmic antibody - associated vasculitis . the positive blood cultures and imaging findings , including a pseudoaneurysm and vegetations in the aorta , suggested the presence of an infected aortic aneurysm . 
 the patient was successfully treated with antibiotics and endovascular aortic repair . 
 a precise diagnosis is crucial in order to avoid inappropriate therapy such as immunosuppressive treatment , which could result in life - threatening consequences in a patient with an infected aortic aneurysm .","several infections , particularly infective endocarditis , have been reported to show positive findings on anca tests ; furthermore , their clinical features have been acknowledged to mimic anca - associated vasculitis , which may lead to a misdiagnosis and inappropriate treatment ( 2,3 ) . vegetations in the descending aorta , which were detected using transesophageal echocardiography , contributed to the diagnosis in this case . the patient finally became afebrile and has c - reactive protein levels within the normal range after receiving antibiotics . crp : c - reacting protein , dap : daptomycin , pcg : penicillin g , taz / pipc : tazobactam / piperacillin , tx : therapy transesphageal echochorardiographic images of the descendinga , with sectioning planes at 90 ( a ) and 0 ( b ) . based on the results of microbiological testing , antibiotic treatment with intravenous penicill g ( 24,000,000 unit / day ) was started , after which she became afemrile . transesophyal endocardiographic finally demonstrated that the vegetation had disappeared after the antibiotic treatment ("
"backgroundendometriosis is a disabling disease of reproductive - age women . 
 dysmenorrhea , dyspareunia , and pelvic pain are the main symptoms of endometriosis . 
 its etiology is not clear . 
 endometriosis may have various causes , including vitamin d deficiency , but its effect is controversial.material/methodsin this double - blind clinical trial , we enrolled patients with endometriosis diagnosed and treated by laparoscopy , with scores of at least 3 for of dysmenorrhea and/or pelvic pain at 8 weeks after surgical treatment . 
 they were randomly prescribed vitamin d ( 50 000 iu weekly for 12 weeks ) or placebo . 
 severity of pain in the 2 groups ( placebo and treatment ) was compared by vas test at 24 weeks after surgical treatment.resultsthere were 19 patients in the vitamin d group and 20 in the placebo group . 
 baseline characteristics in the 2 groups were similar . 
 following the treatment with vitamin d or placebo , we did not find significant differences in severity of pelvic pain ( p=0.24 ) and dysmenorrhea ( p=0.45 ) between the 2 groups . 
 mean pelvic pain at 24 weeks after laparoscopy in the vitamin d group was 0.841.74 and in placebo group it was 0.681.70 ( p=0.513 ) . 
 mean dysmenorrhea was 2.102.33 in the vitamin d group and 2.732.84 in the placebo group ( p=0.45).conclusionsafter ablative surgery for endometriosis , vitamin d treatment did not have a significant effect in reducing dysmenorrhea and/or pelvic pain .","to find patients with endometriosis , we did laparoscopy for various indications , including ovarian cyst , infertility , pelvic pain , and dysmenorrhea . women aged 1540 years with proven endometrialosis by laparoscopicopy and a vas test score of 3 or more for dysmenorhea and/or pelvic pain at second menses after operative laparopy .Women aged 15 40 years with confirmed endometraosis by l laparotomy and a Vas test score for 3 or or morefor dysmanorrhea and /or pel pain at first menses at operative laparsopy . before laparostopy , the mean pelvic pain score in the vitamin d group was 4.053.45 and 4.824.1(p=0.513 ) in the placebo group . before lumboscopy ,the mean dysmeninhea pain score was 7.372.61 and in placebo group it was 6.423.04 ( p= 0.325 ) . at the second mens after laparoscopeopy , there was no significant difference between the 2 groups for pelvic pain ( p =0.583 ) and dysmororrhea ( p)=0.365"
"objectivethe aim of this study was to compare the correspondence between gap formation and 
 apical microleakage in root canals filled with epoxy resin - based ( ah plus ) 
 combined or not with resinous primer or with a dimethacrylate - based root canal 
 sealer ( epiphany ) . 
 material and methodsthirty - nine lower single - rooted human premolars were filled by the lateral 
 condensation technique ( lc ) and immersed in a 50-wt% aqueous silver nitrate 
 solution at 37c ( 24 h ) . 
 after longitudinal sectioning , epoxy resin 
 replicas were made from the tooth specimens . 
 both the replicas and the specimens 
 were prepared for scanning electron microscopy ( sem ) . 
 the gaps were observed in 
 the replicas . 
 apical microleakage was detected in the specimens by sem / energy 
 dispersive spectroscopy ( sem / eds ) . 
 the data were analyzed statistically using an 
 ordinal logistic regression model and analysis of correspondence ( =0.05 ) . 
 resultsepiphany presented more regions containing gaps between dentin and sealer 
 ( p<0.05 ) . 
 there was correspondence between the presence of gaps and 
 microleakage ( p<0.05 ) . 
 microleakage was similar among the root - filling 
 materials ( p>0.05 ) . 
 conclusionsthe resinous primer did not improve the sealing ability of ah plus sealer and the 
 presence of gaps had an effect on apical microleakage for all materials .","however , in the last decade , the dentin adhesive technology has been incorporated into the root canal filling techniques to reduce apical and coronal leakage by bonding to root canal walls . the aim of this study was to compare the apical sealing and gap formation of ah plus / gutta - percha with epiphany system . the endodontic sealers were prepared according to the manufacturer 's instructions and the cold lateral condensation filling technique ( lc ) was used according with the following description : an iso # 50 master gutta / percha cone was lightly coated with ah plus sealer ( ah plus ; dentsply detrey , konstanz , germany ) and placed into the canal to rwl . the replicas were covered with carbon to investigate the presence of gaps at the denten / sealer and sealer / cone interfaces , as described previously , using secondary electrons ( se ) mode . as the gaps were not continuous , for each 1 mm - region , two interfaces were analyzed ( figure 2a ) and classified as : type 0 : both interfaces were gap - free , type 1 : gap at dentin / sealers interface ( figure2b ) , type 2 : gap on seal"
"permanent neonatal diabetes mellitus refers to diabetes that occurs before the age of 6 months and persists through life . 
 it is a rare disorder affecting one in 0.2 - 0.5 million live births . 
 mutations in the gene kcnj11 , encoding the subunit kir6.2 , and abcc8 , encoding sur1 of the atp - sensitive potassium ( katp ) channel , are the most common causes of permanent neonatal diabetes mellitus . 
 sulfonylureas close the katp channel and increase insulin secretion . kcnj11 and abcc8 mutations have important therapeutic implications because sulfonylurea therapy can be effective in treating patients with mutations in the potassium channel subunits . 
 the mutation type , the presence of neurological features , and the duration of diabetes are known to be the major factors affecting the treatment outcome after switching to sulfonylurea therapy . 
 more than 30 mutations in the kcnj11 gene have been identified . here , 
 we present our experience with a patient carrying a novel p.h186d heterozygous mutation in the kcnj11 gene who was successfully treated with oral sulfonylurea .","activating mutations in the kcnj11 gene , encoding the subunit kir6.2 , and abcc8 gene , encode the sulfonylurea receptor 1 ( sur1 ) of atp - sensitive potassium ( katp ) channel , which has a key role in insulin secretion in glucose metabolism , are the most common causes and account for approximately 40% of all cases of pndm12 ) . mutations in genes in the glucokinase ( gck ) and insulin ( ins ) genes have also been reported in patients with Pndm . therefore , in many patients with pNDm with kir 6.2 and sur1 mutations , insulin therapy can be replaced by oral sulfonylsureas which offer more improvement in glycemic control and better quality of life35 ) . genetic study for neonatal diabetes using genomic dna extracted from peripheral lymphocyte was done at 4.5 years of age , and a novel heterozygous mutation of the Kcnj 11 gene located on chromosome 11p15.1 and encoding kir2 , c.556c > g ( p.his186asp ) , was found ( fig . transition of treatment from insulin to sulfonylationurea was attempted"
"radiocontrast administration is an important cause of acute renal failure . in this study , 
 compared the plasma creatinine levels with spot urine il-18 levels following radiocontrast administration . 
 twenty patients ( 11 males , 9 females ) underwent radiocontrast diagnostic and therapeutic - enhanced examinations . 
 the rin mehran risk score was low ( 5 ) . 
 the radiocontrast agents used were 623 mg / ml iopromid ( 1.5 ml / kg ) , and 100 ml of 650 mg / ml meglumine diatrizoate as three - way oral and rectal contrast material for abdominal computed tomography ( ct ) scans . 
 serum blood urea nitrogen , creatinine , na , k , cl , ca , p , creatinine clearance , and spot urine il-18 levels were analyzed before and repeated at 24 , 48 , and 72 h after radiocontrast administration . 
 six and 24-h urinary il-18 levels were measured with a human il-18 elisa kit following radiocontrast administration . 
 an increase in plasma creatinine 24 and 48 h following radiocontrast administration was observed compared with precontrast values , but it was not statistically significant ( p=0.052 and p=0.285 , respectively ) . a statistically significant increase in il-18 levels was observed at 6 and 24 h , compared with precontrast values ( p=0.048 and p=0.028 , respectively ) . 
 a tendency for postcontrast 24-h urinary il-18 levels to increase was observed compared with 6 h , but the increase was not statistically significant ( p=0.808 ) . 
 our results show that plasma creatinine starts to increase at 24th hour ; however , spot urine il-18 levels go up at 6th hour following radiocontrast administration implying urine il-18 to be an earlier parameter for kidney injury .","arf increases treatment cost due to sepsis , hemorrhage , respiratory failure , and a long hospitalization. [13 ] rin is an important cause of hospital - acquired arf and is responsible for 12% of cases . recent studies have reported that urine levels of il-18 ( a pro - inflammatory cytokine ) , kidney injury molecule-1 , and neutrophil gelatinase - associated lipocalin ( ngal ) levels are important for early detection of rin . in this study , we aimed to compare the plasma creatinine levels with spot urine il- 18 levels following radiocontrast administration . after radiocorontrast agent administration , the same prophylactic treatment was continued ( 1 ml / kg / h ) for 6 h. during this time , hydration and urine output were followed by monitoring the intake and release of fluids . serum creatinin levels increased after radiatrast administration compared with precontrast levels , although the result was not statistically significant [ table 2 ] . a slight increase in creatinina levels occurred at 48 h after radiocyontrast administered but they fell to precontcontrast values at 72 h. a slight increased in plasma creatinoine levels at 24 and"
"living in biofilms is probably the most common condition for bacteria and fungi and biofilm - related infections account for the majority of bacterial infectious diseases worldwide.among others biofilm - related infections , those associated with implanted biomaterials have an enormous and still largely underestimated impact in orthopaedics and trauma , cardio - surgery and several other surgical disciplines.given the limited efficacy of existing antibiotics in the prevention and treatment of bacterial biofilms , new strategies are needed to protect implants and host tissues , overcoming the striking ability of the microorganisms to adhere on different surfaces and to immediately protect themselves by forming the biofilm matrix.adhesion is a necessary first step in microbial colonization and pathogenesis and provides a potential target for new preventive and treatment approach.among various polymers , tested as antibacterial coatings , hyaluronic acid and some of its composites do offer a well - established long - term safety profile and a proven ability to reduce bacterial adhesion and biofilm formation.aim of the present review is to summarize the available evidence concerning the antiadhesion / antibiofilm activity of hyaluronic acid and some of its derivatives to reduce / prevent bacterial adhesion and biofilm formation in various experimental and clinical settings .","according to the widely accepted model of the ' race for the surface ' for pji development , host and bacterial cells compete for surface colonization , with a low probability of bacterial attachment if host cells adhere to implant first , and vice versa . among its various properties , several studies have recently shown the ability of ha to protect against various infectious agents 30 , depending on ha concentration and molecular weight 31 , 32 , while more recently ha interference on bacterial adhesion and biofilm formation has been extensively investigated 33 . in particular , a hydrophilic ha overlayer , linked to the surface of polymethylmethacrylate intraocular lenses ( iols ) , was shown to be able to prevent fibroblasts adhesion, to greatly reduce staphyloccous epidermidis adhesion to the implant surface 36 . more recently , the in vitro antiadhesive and antibiofilm activity of hyaluronic acid towards bacterial species commonly isolated from respiratory infections was investigated by drago et al . comparing the potential bacteriostatic effect of some of the most commonly used biomatrix materials ( collagen type i , hyalurononic acid , hydroxyapatite , polylactic acid and polyglycolic acid ) on"
"background and objective . 
 antimicrobial resistance is now a major challenge to clinicians for treating patients . 
 hence , this short term study was undertaken to detect the incidence of multidrug - resistant ( mdr ) , extensively drug - resistant ( xdr ) , and pandrug - resistant ( pdr ) bacterial isolates in a tertiary care hospital . 
 material and methods . 
 the clinical samples were cultured and bacterial strains were identified in the department of microbiology . 
 the antibiotic susceptibility profile of different bacterial isolates was studied to detect mdr , xdr , and pdr bacteria . 
 results . the antibiotic susceptibility profile of 1060 bacterial strains was studied . 
 393 ( 37.1% ) bacterial strains were mdr , 146 ( 13.8% ) strains were xdr , and no pdr was isolated . 
 all ( 100% ) gram negative bacterial strains were sensitive to colistin whereas all ( 100% ) gram positive bacterial strains were sensitive to vancomycin . 
 conclusion . 
 close monitoring of mdr , xdr , or even pdr must be done by all clinical microbiology laboratories to implement effective measures to reduce the menace of antimicrobial resistance .","antibiotics used for gram positive cocci ( gpc ) were penicillin , erythromycin , ciprofloxacin , tetracycline , amikacin, vancomycin , and linezolid and for gram negative bacilli ( gnb ) were amikadin , ceftazidime - ceftriaxone - clavulanic acid , ceproflaxacin - imipenem , and colistin , respectively . out of total 1060 bacterial strains studied , 393 ( 37.1% ) bacterial strains were mdr and 146 ( 13.8% ) strains were xdr . outof 746 gnb isolates , 250 ( 33.5% ) strain were mDR and 90 ( 12.1 % ) were xDR . 79 ( 30.3% ) and 22 ( 8.4% ) e. coli strains were Mdr and xdr , respectively , out of 200 klebsiella pneumoniae strains isolated , 75 ( 37% )and 25 ( 12% ) were detected as mdr or xdr., respectively . amongst 250 gnb - mdr strains isolated, the"
"ureterocele is a common ureteric anomaly detected in pediatric population . 
 ureterocele diagnosis and evaluation need a variety of radiological methods . 
 we report a case of 5-year - old female child sent for 99mtc - diethylene triamine pentaacetic acid scan for evaluation of glomerular filtration rate and excretory function of kidneys in view of right - sided hydroureteronephrosis and pyonephrosis with percutaneous tube in situ . 
 incidental photopenia was noted in the urinary bladder . 
 on ultrasonography of abdomen cause of this photopenia was found to be an intravesical ureterocele .",a 5-year - old female child was referred to our department for tc - diethylene triamine pentaacetic acid ( dtpa ) scan . she was a follow - up case of right - sided hydroureteronephrosis with pyonephnecrosis with percutaneous tube ( pcn ) insertion done on the right side . tc - dtPA scan was done in our department with right pcn tube in situ . a large photopenia was noted in the suprapubic region in the urinary bladder ( ub ) during dynamic [ figure 1 ] as well as delayed static images acquired till 4 h [ figure 2a  d ] . an usg of the abdomen was done at the radiology department of our hospital to find out the cause of this persistent photopeniosis in the ub . usgof the abdomen showed evidence of left - sided mild hydrourenteroneophrosis and grossly enlarged hydronephrotic right kidney with dilated right ureter and an intracystic urereterocele arising from the rightside [ figure 3a and b ] .photopenia noted inThe urinary bladder [ bold arrow ) ( a ) prevoid static image
"objectives : the aim of this study was to investigate the impact of asymptomatic vertebral fractures on the quality of life in older women as part of the sao paulo ageing & health study.methods:this study was a cross - sectional study with a random sample of 180 women 65 years of age or older with or without vertebral fractures . 
 the quality of life questionnaire of the european foundation for osteoporosis was administered to all subjects . 
 anthropometric data were obtained by physical examination , and the body mass index was calculated . 
 lateral thoracic and lumbar spine x - ray scans were obtained to identify asymptomatic vertebral fractures using a semi - quantitative method.results:women with asymptomatic vertebral fractures had lower total scores [ 61.4(15.3 ) vs. 67.1(14.2 ) , p  =  0.03 ] and worse physical function domain scores [ 69.5(20.1 ) vs. 77.3(17.1 ) , p  =  0.02 ] for the quality of life questionnaire of the european foundation for osteoporosis compared with women without fractures . 
 the total score of this questionnaire was also worse in women classified as obese than in women classified as overweight or normal . 
 high physical activity was related to a better total score for this questionnaire ( p  =  0.01 ) . likewise , lower physical function scores were observed in women with higher body mass index values ( p<0.05 ) and lower physical activity levels ( p<0.05 ) . 
 generalized linear models with gamma distributions and logarithmic link functions , adjusted for age , showed that lower total scores and physical function domain scores for the quality of life questionnaire of the european foundation for osteoporosis were related to a high body mass index , lower physical activity , and the presence of vertebral fractures ( p<0.05).conclusion : vertebral fractures are associated with decreased quality of life mainly physical functioning in older community - dwelling women regardless of age , body mass index , and physical activity . 
 therefore , the results highlight the importance of preventing and controlling asymptomatic vertebral fractures to reduce their impact on quality of life among older women .","the total score for each domain was obtained by summing the scores of all questions for that domain and submitting this sum to a linear transformation to a scale ranging from 0 to 100 , where 0 corresponds to the worst hrqol and 100 to the best hrqOL . the total scorefor each domainwas obtained by sumsming the weights of all question for thatdomain and submittingThis sum to the linear transformation as a scaleranging from 0.75 to 100, where 0 correspond to theworst hrqols and 100 as the besthrqol . the demographic , anthropometric and clinical data for all participants in the study , grouped based on the presence ( vertebral fracture ) or absence of vertebral fractures ( no vertebral fragment ) , are shown in table 1 . the results for each domains of the qualeffo and the total qualeeffo score in both groups are shownIn table 2 . the mean total qualesffo score was worse in women classified as obese than in those classified as overweight or normal [ 61.7 ( 15.4 ) vs. 66.4 ( 13.8 ) vs vs. 70.8 (13.5 ) , respectively , p  =  0.008 ] . a"
"aims . our aim is to compare the adequacy and diagnostic yield of samples obtained by the endometrial explora sampler i - mx120 with endometrial specimens obtained by conventional dilatation and curettage ( d&c ) 
 . methods . a total of 1270 endometrial samples 
 were received in the histopathology laboratories at the king khalid university hospital , riyadh , saudi arabia , between 2007 and 2010 . in the outpatient clinic , 
 the uterine explora model i was used to obtain 996 samples . 
 the remaining 274 samples were obtained by conventional d&c . 
 sample adequacy and the clustering of inadequate specimens according to age groups by the two different techniques were compared and statistically analyzed . results . out of 1270 endometrial samples , 253 ( 19.9% ) were inadequate . 
 the uterine explora was used in 88.5% of these inadequate samples ( 253 samples ) , and the remaining 11.5% were obtained by d&c . 
 the insufficient tissue incidence was higher with the explora ( 17.6% ) than with the d&c ( 2.2% ) and the difference was statistically significant ( p < 0.0001 ) . 
 the ages of the patients , as well as the clinical indications for the procedures , were recorded . conclusion . 
 this retrospective study demonstrated better specimen adequacy when d&c was used compared to the higher rate of sample insufficiency obtained with the explora .","dilatation and curettage ( d&c ) has been widely considered to be the method of choice for obtaining endometrial samples for histopathological evaluation . in the outpatient setting , endometoscopic sampling is an effective and acceptable method for obtaining adequate endometrium samples for Histopathological assessment [ 3 , 4 ] . inadequate sampling is more problematic in postmenopausal women , for whom up to 68% of endometri samples are reported to be inadequate . the purpose of this study is to compare the effectiveness of the explora model i tool with the conventional d& c technique for obtaining inadequate endometria samples that are capable of providing specific and informative histopathologic diagnoses . for each of the two methods used ( exploramodel i and d&C ) , the numbers and percentages of inadequate samples and age group clustering were calculated and statistically analyzed . of the 1270 endometrine samples obtained , 253 samples ( 19.9% ) were scored as inadequate . of these samples , the exploria sampler was used to collect 224 samples ( 88.5% ) , whereas 29 samples ( 11.5 % ) were obtained by d &c ( figure 2 ) . thus , the insufficient tissue percentage was"
"in miocene times a vast wetland existed in western amazonia . 
 whereas the general development of this amazing ecosystem is well established , many questions remain open on sedimentary environments , stratigraphical correlations as well as its palaeogeographical configuration . 
 several outcrops located in a barely studied region around eirunep ( sw amazonas state , brazil ) were investigated to obtain basic sedimentological data . 
 the observed deposits belong to the upper part of the solimes formation and are biostratigraphically dated to the late miocene . 
 vertically as well as laterally highly variable fine - grained clastic successions were recorded . 
 based on the lithofacies assemblages , these sediments represent fluvial deposits , possibly of an anastomosing river system . 
 sand bodies formed within active channels and dominant overbank fines are described ( levees , crevasse splays / channels / deltas , abandoned channels , backswamps , floodplain paleosols ) . 
 lacustrine environments are restricted to local floodplain ponds / lakes . 
 the mollusc and ostracod content as well as very light 18o and 13c values , measured on ostracod valves , refer to exclusively freshwater conditions . based on palaeontological and geological results the existence of a long - lived lake (  lake pebas  ) or 
 any influx of marine waters can be excluded for that region during the late miocene .",", 2009 ; hoorn et  al . ( 1977 ) , hoorn ( 1993 , 1994 ) , latrubesse et  l . , above follows a 0.65  m thick alternation of clay with incorporated calcareous nodules and laminated silty sand or ripple bedded sand ( 1017 ; fig . interpretation : the lithofacies of the basal part of the outcrop ( 117 ) refers to a deposition in a fluvial overbank environment . finally ( bed 40 ) , the overbank fines were intersected by a channel of at least 23  m in depth , which was filled up by large scale cross bedded Sand . laminated sand alternations ( 7 ) and massive sandy clay , which is rich in molluscs in its lower and upper part ( 8) . this unit is overlain by a layer of calcareifer nodules ( 11 ; section 3 ) and lamination clay ( silt)coal alternations with bivalve and vertebrate remains ( 13 and 14  =  equivalent to 9 ) . mn9 and mn 14 yielded many fish , gastropod and bivalves ( sphaeriids ) remains as well as abundant ostracod valves"
"aim . to investigate incidental adrenal enlargement clinical characteristics and functional status and analyze functional lesion risk factors . materials and methods . 
 this retrospective study included 578 patients with adrenal imaging features showing enlargement . 
 incidental adrenal enlargement cases ( 78 ) were considered eligible . 
 demographics , functional diagnosis , adrenal imaging features , and concomitant diseases were analyzed . 
 results . 
 the number of adrenal enlargements and proportion of incidental adrenal enlargement increased each year . 
 mean patient age was 50.32 years . 
 thirty - nine cases had unilateral enlargement on the left side and 3 on the right side ; 36 had bilateral enlargement . 
 routine medical checkup was found to have the greatest chance ( 43.59% ) of revealing clinical onsets leading to discovery . 
 biochemical and functional evaluation revealed 54 ( 69.23% ) cases of nonfunctional lesions , 12 ( 15.38% ) of subclinical cushing syndrome , 6 ( 7.69% ) of primary hyperaldosteronism , 1 ( 1.28% ) of metastasis , and 5 ( 6.41% ) of unknown functional status . 
 nodular adrenal enlargement ( or , 7.306 ; 95% ci , 1.72728.667 ; 
 p = 0.006 ) was a risk factor for functional lesions . 
 age and lesion location were not significant factors . 
 conclusion . 
 incidental adrenal enlargement is a frequent radiographic finding and is accompanied by diverse clinical factors that require proper evaluation and management . 
 nodular adrenal enlargement was a risk factor .",", among a total of 564 eligible ct studies ( patients undergoing ct without prior known malignancy , trauma , or endocrine disease ) , adrenal hyperplasia was detected in 64 cases , giving a prevalence of 11.3% . this indicated that incidental adrenal enlargement had a significant prevalence and has become a common clinical problem . this study aimed to determine the primary clinical presentation that most frequently leads to the discovery of adrenal gland enlargement , to evaluate clinical characteristics and functional status of these patients , and to analyze risk factors for functional lesions . this retrospective study included 578 patients with adrenal imaging features showing adrenal edement who were hospitalized at the department of endocrinology in pla general hospital ( beijing , china ) between january 1993 and july 2013 . categorical data such as gender and clinical / radiologic features were compared using -test or fisher 's exact test . of 578 consecutive patients with ACTH , 78 cases ( 13.49% ) were detected incidentally . in addition , there were 30 ( 38.46% ) cases in which the lesions were incidentally detected during hospitalization for underlying diseases , such as diabetes mellitus , hypertension , and coronary heart disease , among"
"objectivethe purpose of this study is to propose an innovative method of knowledge transfer that aims to improve health literacy about pediatric infectious diseases prevention in families . 
 children have an appreciable role in this scheme.methodsthis study is a before and after trial that has been conducted in hamedan in 2009 . after changing seven infectious disease topics into childish poems , we selected five kindergartens randomly and taught these poetries to the children . teaching process held after a pretest containing 24 questions that examined 103 of parents about mentioned topics . 
 the same post - test was given after 4 months of teaching process.findingsthe mean of correct answers to the pretest was 59.22% comparable with 81.00% for post - test ( p<0.00 ) . 
 gender and knowledge degree could not change the results significantly . 
 assuming one 's correct answers to the questions as his / her knowledge mark , the mean of this variable increased to 5.32 by this method.conclusionthis cost - effective and joyful method had successful results in promoting health knowledge . 
 children are able to play an active role in family 's health situation . 
 learning within family atmosphere without any obligations makes our scheme a solution for paving the knowledge transferring way .","it is important for health educators to know about knowledge transfer to meet their needs in transferring their knowledge to public . in this study , we try to raise families health knowledge about infectious diseases by a method that uses children as health agents . infectious diseases are still the leading cause of mortality in children less than 60 months in developing countries . we decided to transfer health knowledge to families through altering this information to childish poems and teaching children at kindergartens . we asked the parents of the sample survey to participate in a pretest by answering to a questionnaire when they are in the kindergarten . also , they were asked to come to the kindergarens personally one more time when it is required ( to answer to the post test ) . in these step , children were not allowed to take home these texts , but they were instructed to sing the poems at home and want their parents to re - write the poems on a paper and give them the papers to take to the kindergarten . the results of the survey show a significant difference between the correct answers in both pre - test and post - test stages ( fig . the mean km shows a significant increase ( 5.01 ) from 13.62 in the pre - 0 to 18.63 in the post -"
"introduction : septic arthritis of the shoulder is uncommon in adults . it is a surgical emergency as joint destruction occurs rapidly and can lead to significant morbidity and mortality . 
 accurate diagnosis can be particularly challenging in patients with underlying liver disease . 
 mri is a useful adjunct in early detection of atypical causes of shoulder pain.case report : a 43 years old male came to our outpatient department with complaints of pain and stiffness of his left shoulder . on examination , 
 his shoulder movements were severely restricted . further evaluation with mri revealed septic arthritis of left gleno - humeral joint for which emergency arthroscopic debridement was done.conclusion:septic arthritis of shoulder may not present with classical clinical features . 
 hence , a through clinical and radiological evaluation will help us prognosticate and treat accordingly thereby preventing complications like septic shock , osteomyelitis .","we report an unusual presentation of shoulder septic arthritis in a 43 years old man with no other clinical signs and symptoms of classical septic rheumatic arthritis . his pain was insidious in onset , mild to moderate in intensity , aggravated by activities and associated with moderate rest and night pain . on physical examination , the skin colour and temperature of the left shoulder were normal , but the shoulder was tender to touch over the anterior joint line . in this case report , the patient had atypical clinical symptoms and is immunocompromised and his primary source of infection seems to be hematogenous . our experience with this patient highlights the importance of maintaining high index of suspicion for septic ar in immunocromised patients presenting with atypypical shoulder pain associated with stiffness . in the setting of suspected seps arthritis , our initial pre - investigation diagnosis was atypically shoulder pain and stiffness of non specific etiology in an immunocommromised patient and infection was part of the differential diagnosis not the only diagnosis . esenwein et al in his report highlighted the importance for early intervention to prevent chondral damage , osteomyelitis and also to prevent systemic spread . in our patient , the diagnosis was delayed due to at"
"biliary complications continue to be a major cause of morbidity after split - liver transplantation ( slt ) . in this report 
 we describe an uncommon late biliary complication . 
 one year after slt the patient showed an intrahepatic bile dicy dilatation with severe cholangitis episodes . 
 the segmentary bile duct of hepatic segment vi - vii draining in the left duct was unidentified and tied at the time of the in situ split - liver procedure . 
 we perform a permanent obliteration of the dilated intrahepatic ducts by a percutaneous embolization using an n - butyl cyanoacrylate ( nabc ) . the management of biliary complications after slt requires a multidisciplinary approach . 
 the use of   nbca in obliteration of a dilated bile duct seems to be a safe procedure with good results providing a less invasive option than hepatic resection and decreasing the morbidity associated with chronic external biliary drainage . 
 further studies are needed to determine   whether this approach is effective and safe and whether it could reduce hospital stay and cost .",split - liver   transplantation ( slt ) is an   attractive alternative procedure to expand the donor pool in patients waiting for liver transplantation . we performed a conventional a / p slt with in situ technique providing the left lateral segment for a child ( segments ii - iii ) and leaving the right lobe graft ( segment i - iv - v - vi - vii - viii ) for an adult recipient . the biliary tract was reconstructed performing a duct - to - duct anastomosis using a t - tube by our standard technique previously described . the patient underwent a doppler ultrasound that showed ( a patent hepatic artery )   an intrahepatic bile duct dilatation and an anastomalotic biliary stricture . after this procedure the patient was submitted to a percutaneous transhepato cholangiography ( ptc ) showing a complete obstruction of segments vi and vii biliary branches near the duct -to - duct biliary anastodomosis ( figure 1 ) .the patient was discharged leaving the external biliary drain open allowing bile drainage and an easy access for repeated radiologic treatment and an internal stent in the common biliary duct .
"ribonucleotide reductase ( rr ) , the rate limiting enzyme in the synthesis and repair of dna , has been studied as a target for inhibition in the treatment of cancer for many years . 
 while some researchers have focused on rr inhibitors as chemotherapeutic agents , particularly in hematologic malignancies , some of the most promising data has been generated in the field of radiosensitization . 
 early pre - clinical studies demonstrated that the addition of the first of these drugs , hydroxyurea , to ionizing radiation ( ir ) produced a synergistic effect in vitro , leading to a large number of clinical studies in the 19701980s . 
 these studies , mainly in cervical cancer , initially produced a great deal of interest , leading to the incorporation of hydroxyurea in the treatment protocols of many institutions . 
 however , over time , the conclusions from these studies have been called into question and hydroxyurea has been replaced in the standard of care of cervical cancer . over the last 10  years 
 , a number of well - done pre - clinical studies have greatly advanced our understanding of rr as a target . 
 those advances include the elucidation of the role of p53r2 and our understanding of the temporal relationship between the delivery of ir and the response of rr . at the same time 
 , new inhibitors with increased potency and improved binding characteristics have been discovered , and pre - clinical and early clinical data look promising . here 
 we present a comprehensive review of the pre - clinical and clinical data in the field to date and provide some discussion of future areas of research .","this review will synthesize the data detailing the response of r r r to ionizing radiation ( ir ) and will provide a perspective on the use of rr inhibitors as radiosensitizers in the treatment of human cancers . this is supported by a number of studies , including one by kuo et al . even though the precise mechanism of r2 response to ir damage is unclear , work has shown that human nasopharyngeal cancer cells overexpressing r2 demonstrate a significant increase in radioresistance and fewer dna double strand breaks ( dsb ) after exposure to ir ( kuo  al . given the findings of these studies , concurrent cisplatin and radiotherapy became the standard of care in locally advanced cervical cancer , spelling the end of hu use in the management of cervical cancer . in addition to its study in cervical carcinoma , hu has also been extensively investigated in other cancers , particularly head and neck . , who examined the benefit of hU when added to a more extensive chemoradiation protocol including cisplat , 5-fu , leucovorin , and interferon-2b induction chemotherapy followed by 5-FU and hu with fractionated radiotherapy in 32 l"
